B,S,H,dtype,p,eager_ms,triton_ms,compiled_ms,eager_geps,triton_geps,compiled_geps,triton_vs_eager_speedup,triton_vs_compiled_speedup
1,128,1024,fp32,0.0,0.024558901970131154,0.10757000939556997,0.04056962746962222,5.33704642656302,1.2184808826966402,3.2307913129876353,0.2283062175798467,0.3771462668598873
1,128,1024,fp32,0.1,0.03880965601871823,0.0893433716634687,0.06496904138242765,3.37730383224172,1.467059028102401,2.0174531932596964,0.43438763610694325,0.7271836754398268
2,256,2048,fp32,0.0,0.03976193465327222,0.18793741274769873,0.05396543276117701,26.371352630189666,5.579389354517118,19.43051220659071,0.2115700864023898,0.28714576822244675
2,256,2048,fp32,0.1,0.06458196939519768,0.08981242721393716,0.08640858961180353,16.236358380207157,11.675177172333242,12.135089864454438,0.7190760944625245,0.9621005944530868
4,512,4096,fp32,0.0,0.42809992658067775,0.24136791665322235,0.18676819843704892,19.59497649766385,34.754445065920116,44.914541502243054,1.7736405588474984,0.7737904897500614
4,512,4096,fp32,0.1,0.5668557957161457,0.2485602639732068,0.18927557897846378,14.798486781637518,33.74878939179208,44.31954743065124,2.280556781904807,0.7614876809064963
8,1024,4096,fp32,0.0,1.685081068431154,0.7791008946334301,0.8159018440511397,19.912651461475313,43.06814718238449,41.12557441149361,2.162853463573535,1.0472351523033798
8,1024,4096,fp32,0.1,2.2304372861132613,0.7831555228570936,0.7428986999056458,15.043880502227273,42.845170621522705,45.16690095737371,2.8480132247247916,0.9485966429699895
8,2048,4096,fp32,0.0,3.3585959441381465,1.503748705599189,1.4340407400105895,19.98122582060728,44.627711897686765,46.797041483984934,2.233482184644587,0.9536438732555228
8,2048,4096,fp32,0.1,4.450777217523376,1.499207711309982,1.4541509704684754,15.078010136248196,44.76288608558545,46.149860202190645,2.96875288457152,0.9699462986338719
16,2048,8192,fp32,0.0,13.427319309928201,5.790451738764259,5.67782724992587,19.991738470203654,46.35829260141401,47.27784840644891,2.3188725017840714,0.9805499650252808
16,2048,8192,fp32,0.1,17.747316602617502,5.777687667047276,5.683473594764846,15.125410900733534,46.4607073745102,47.23087941276985,3.071698856938624,0.9836934639406392
